modelo_id,variables,interacciones,n_variables,n_interacciones,n_terminos
4773,fage + mage + gained + marital_bin + mature_bin,mage × gained + gained × mature_bin,5,2,7
4774,fage + mage + gained + marital_bin + mature_bin,mage × gained + marital_bin × mature_bin,5,2,7
4775,fage + mage + gained + marital_bin + mature_bin,mage × marital_bin + mage × mature_bin,5,2,7
4776,fage + mage + gained + marital_bin + mature_bin,mage × marital_bin + gained × marital_bin,5,2,7
4777,fage + mage + gained + marital_bin + mature_bin,mage × marital_bin + gained × mature_bin,5,2,7
4778,fage + mage + gained + marital_bin + mature_bin,mage × marital_bin + marital_bin × mature_bin,5,2,7
4779,fage + mage + gained + marital_bin + mature_bin,mage × mature_bin + gained × marital_bin,5,2,7
4780,fage + mage + gained + marital_bin + mature_bin,mage × mature_bin + gained × mature_bin,5,2,7
4781,fage + mage + gained + marital_bin + mature_bin,mage × mature_bin + marital_bin × mature_bin,5,2,7
4782,fage + mage + gained + marital_bin + mature_bin,gained × marital_bin + gained × mature_bin,5,2,7
4783,fage + mage + gained + marital_bin + mature_bin,gained × marital_bin + marital_bin × mature_bin,5,2,7
4784,fage + mage + gained + marital_bin + mature_bin,gained × mature_bin + marital_bin × mature_bin,5,2,7
4785,fage + mage + gained + whitemom_bin + mature_bin,,5,0,5
4786,fage + mage + gained + whitemom_bin + mature_bin,fage × mage,5,1,6
4787,fage + mage + gained + whitemom_bin + mature_bin,fage × gained,5,1,6
4788,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin,5,1,6
4789,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin,5,1,6
4790,fage + mage + gained + whitemom_bin + mature_bin,mage × gained,5,1,6
4791,fage + mage + gained + whitemom_bin + mature_bin,mage × whitemom_bin,5,1,6
4792,fage + mage + gained + whitemom_bin + mature_bin,mage × mature_bin,5,1,6
4793,fage + mage + gained + whitemom_bin + mature_bin,gained × whitemom_bin,5,1,6
4794,fage + mage + gained + whitemom_bin + mature_bin,gained × mature_bin,5,1,6
4795,fage + mage + gained + whitemom_bin + mature_bin,whitemom_bin × mature_bin,5,1,6
4796,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + fage × gained,5,2,7
4797,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + fage × whitemom_bin,5,2,7
4798,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + fage × mature_bin,5,2,7
4799,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + mage × gained,5,2,7
4800,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + mage × whitemom_bin,5,2,7
4801,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + mage × mature_bin,5,2,7
4802,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + gained × whitemom_bin,5,2,7
4803,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + gained × mature_bin,5,2,7
4804,fage + mage + gained + whitemom_bin + mature_bin,fage × mage + whitemom_bin × mature_bin,5,2,7
4805,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + fage × whitemom_bin,5,2,7
4806,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + fage × mature_bin,5,2,7
4807,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + mage × gained,5,2,7
4808,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + mage × whitemom_bin,5,2,7
4809,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + mage × mature_bin,5,2,7
4810,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + gained × whitemom_bin,5,2,7
4811,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + gained × mature_bin,5,2,7
4812,fage + mage + gained + whitemom_bin + mature_bin,fage × gained + whitemom_bin × mature_bin,5,2,7
4813,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + fage × mature_bin,5,2,7
4814,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + mage × gained,5,2,7
4815,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + mage × whitemom_bin,5,2,7
4816,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + mage × mature_bin,5,2,7
4817,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + gained × whitemom_bin,5,2,7
4818,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + gained × mature_bin,5,2,7
4819,fage + mage + gained + whitemom_bin + mature_bin,fage × whitemom_bin + whitemom_bin × mature_bin,5,2,7
4820,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin + mage × gained,5,2,7
4821,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin + mage × whitemom_bin,5,2,7
4822,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin + mage × mature_bin,5,2,7
4823,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin + gained × whitemom_bin,5,2,7
4824,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin + gained × mature_bin,5,2,7
4825,fage + mage + gained + whitemom_bin + mature_bin,fage × mature_bin + whitemom_bin × mature_bin,5,2,7
4826,fage + mage + gained + whitemom_bin + mature_bin,mage × gained + mage × whitemom_bin,5,2,7
4827,fage + mage + gained + whitemom_bin + mature_bin,mage × gained + mage × mature_bin,5,2,7
4828,fage + mage + gained + whitemom_bin + mature_bin,mage × gained + gained × whitemom_bin,5,2,7
4829,fage + mage + gained + whitemom_bin + mature_bin,mage × gained + gained × mature_bin,5,2,7
4830,fage + mage + gained + whitemom_bin + mature_bin,mage × gained + whitemom_bin × mature_bin,5,2,7
4831,fage + mage + gained + whitemom_bin + mature_bin,mage × whitemom_bin + mage × mature_bin,5,2,7
4832,fage + mage + gained + whitemom_bin + mature_bin,mage × whitemom_bin + gained × whitemom_bin,5,2,7
4833,fage + mage + gained + whitemom_bin + mature_bin,mage × whitemom_bin + gained × mature_bin,5,2,7
4834,fage + mage + gained + whitemom_bin + mature_bin,mage × whitemom_bin + whitemom_bin × mature_bin,5,2,7
4835,fage + mage + gained + whitemom_bin + mature_bin,mage × mature_bin + gained × whitemom_bin,5,2,7
4836,fage + mage + gained + whitemom_bin + mature_bin,mage × mature_bin + gained × mature_bin,5,2,7
4837,fage + mage + gained + whitemom_bin + mature_bin,mage × mature_bin + whitemom_bin × mature_bin,5,2,7
4838,fage + mage + gained + whitemom_bin + mature_bin,gained × whitemom_bin + gained × mature_bin,5,2,7
4839,fage + mage + gained + whitemom_bin + mature_bin,gained × whitemom_bin + whitemom_bin × mature_bin,5,2,7
4840,fage + mage + gained + whitemom_bin + mature_bin,gained × mature_bin + whitemom_bin × mature_bin,5,2,7
4841,fage + mage + sex_bin + habit_bin + marital_bin,,5,0,5
4842,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage,5,1,6
4843,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin,5,1,6
4844,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin,5,1,6
4845,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin,5,1,6
4846,fage + mage + sex_bin + habit_bin + marital_bin,mage × sex_bin,5,1,6
4847,fage + mage + sex_bin + habit_bin + marital_bin,mage × habit_bin,5,1,6
4848,fage + mage + sex_bin + habit_bin + marital_bin,mage × marital_bin,5,1,6
4849,fage + mage + sex_bin + habit_bin + marital_bin,sex_bin × habit_bin,5,1,6
4850,fage + mage + sex_bin + habit_bin + marital_bin,sex_bin × marital_bin,5,1,6
4851,fage + mage + sex_bin + habit_bin + marital_bin,habit_bin × marital_bin,5,1,6
4852,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + fage × sex_bin,5,2,7
4853,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + fage × habit_bin,5,2,7
4854,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + fage × marital_bin,5,2,7
4855,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + mage × sex_bin,5,2,7
4856,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + mage × habit_bin,5,2,7
4857,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + mage × marital_bin,5,2,7
4858,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + sex_bin × habit_bin,5,2,7
4859,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + sex_bin × marital_bin,5,2,7
4860,fage + mage + sex_bin + habit_bin + marital_bin,fage × mage + habit_bin × marital_bin,5,2,7
4861,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + fage × habit_bin,5,2,7
4862,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + fage × marital_bin,5,2,7
4863,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + mage × sex_bin,5,2,7
4864,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + mage × habit_bin,5,2,7
4865,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + mage × marital_bin,5,2,7
4866,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + sex_bin × habit_bin,5,2,7
4867,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + sex_bin × marital_bin,5,2,7
4868,fage + mage + sex_bin + habit_bin + marital_bin,fage × sex_bin + habit_bin × marital_bin,5,2,7
4869,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + fage × marital_bin,5,2,7
4870,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + mage × sex_bin,5,2,7
4871,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + mage × habit_bin,5,2,7
4872,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + mage × marital_bin,5,2,7
4873,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + sex_bin × habit_bin,5,2,7
4874,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + sex_bin × marital_bin,5,2,7
4875,fage + mage + sex_bin + habit_bin + marital_bin,fage × habit_bin + habit_bin × marital_bin,5,2,7
4876,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin + mage × sex_bin,5,2,7
4877,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin + mage × habit_bin,5,2,7
4878,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin + mage × marital_bin,5,2,7
4879,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin + sex_bin × habit_bin,5,2,7
4880,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin + sex_bin × marital_bin,5,2,7
4881,fage + mage + sex_bin + habit_bin + marital_bin,fage × marital_bin + habit_bin × marital_bin,5,2,7
4882,fage + mage + sex_bin + habit_bin + marital_bin,mage × sex_bin + mage × habit_bin,5,2,7
4883,fage + mage + sex_bin + habit_bin + marital_bin,mage × sex_bin + mage × marital_bin,5,2,7
4884,fage + mage + sex_bin + habit_bin + marital_bin,mage × sex_bin + sex_bin × habit_bin,5,2,7
4885,fage + mage + sex_bin + habit_bin + marital_bin,mage × sex_bin + sex_bin × marital_bin,5,2,7
4886,fage + mage + sex_bin + habit_bin + marital_bin,mage × sex_bin + habit_bin × marital_bin,5,2,7
4887,fage + mage + sex_bin + habit_bin + marital_bin,mage × habit_bin + mage × marital_bin,5,2,7
4888,fage + mage + sex_bin + habit_bin + marital_bin,mage × habit_bin + sex_bin × habit_bin,5,2,7
4889,fage + mage + sex_bin + habit_bin + marital_bin,mage × habit_bin + sex_bin × marital_bin,5,2,7
4890,fage + mage + sex_bin + habit_bin + marital_bin,mage × habit_bin + habit_bin × marital_bin,5,2,7
4891,fage + mage + sex_bin + habit_bin + marital_bin,mage × marital_bin + sex_bin × habit_bin,5,2,7
4892,fage + mage + sex_bin + habit_bin + marital_bin,mage × marital_bin + sex_bin × marital_bin,5,2,7
4893,fage + mage + sex_bin + habit_bin + marital_bin,mage × marital_bin + habit_bin × marital_bin,5,2,7
4894,fage + mage + sex_bin + habit_bin + marital_bin,sex_bin × habit_bin + sex_bin × marital_bin,5,2,7
4895,fage + mage + sex_bin + habit_bin + marital_bin,sex_bin × habit_bin + habit_bin × marital_bin,5,2,7
4896,fage + mage + sex_bin + habit_bin + marital_bin,sex_bin × marital_bin + habit_bin × marital_bin,5,2,7
4897,fage + mage + sex_bin + habit_bin + whitemom_bin,,5,0,5
4898,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage,5,1,6
4899,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin,5,1,6
4900,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin,5,1,6
4901,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin,5,1,6
4902,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × sex_bin,5,1,6
4903,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × habit_bin,5,1,6
4904,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × whitemom_bin,5,1,6
4905,fage + mage + sex_bin + habit_bin + whitemom_bin,sex_bin × habit_bin,5,1,6
4906,fage + mage + sex_bin + habit_bin + whitemom_bin,sex_bin × whitemom_bin,5,1,6
4907,fage + mage + sex_bin + habit_bin + whitemom_bin,habit_bin × whitemom_bin,5,1,6
4908,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + fage × sex_bin,5,2,7
4909,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + fage × habit_bin,5,2,7
4910,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + fage × whitemom_bin,5,2,7
4911,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + mage × sex_bin,5,2,7
4912,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + mage × habit_bin,5,2,7
4913,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + mage × whitemom_bin,5,2,7
4914,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + sex_bin × habit_bin,5,2,7
4915,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + sex_bin × whitemom_bin,5,2,7
4916,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × mage + habit_bin × whitemom_bin,5,2,7
4917,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + fage × habit_bin,5,2,7
4918,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + fage × whitemom_bin,5,2,7
4919,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + mage × sex_bin,5,2,7
4920,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + mage × habit_bin,5,2,7
4921,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + mage × whitemom_bin,5,2,7
4922,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + sex_bin × habit_bin,5,2,7
4923,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + sex_bin × whitemom_bin,5,2,7
4924,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × sex_bin + habit_bin × whitemom_bin,5,2,7
4925,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + fage × whitemom_bin,5,2,7
4926,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + mage × sex_bin,5,2,7
4927,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + mage × habit_bin,5,2,7
4928,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + mage × whitemom_bin,5,2,7
4929,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + sex_bin × habit_bin,5,2,7
4930,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + sex_bin × whitemom_bin,5,2,7
4931,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × habit_bin + habit_bin × whitemom_bin,5,2,7
4932,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin + mage × sex_bin,5,2,7
4933,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin + mage × habit_bin,5,2,7
4934,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin + mage × whitemom_bin,5,2,7
4935,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin + sex_bin × habit_bin,5,2,7
4936,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin + sex_bin × whitemom_bin,5,2,7
4937,fage + mage + sex_bin + habit_bin + whitemom_bin,fage × whitemom_bin + habit_bin × whitemom_bin,5,2,7
4938,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × sex_bin + mage × habit_bin,5,2,7
4939,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × sex_bin + mage × whitemom_bin,5,2,7
4940,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × sex_bin + sex_bin × habit_bin,5,2,7
4941,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × sex_bin + sex_bin × whitemom_bin,5,2,7
4942,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × sex_bin + habit_bin × whitemom_bin,5,2,7
4943,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × habit_bin + mage × whitemom_bin,5,2,7
4944,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × habit_bin + sex_bin × habit_bin,5,2,7
4945,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × habit_bin + sex_bin × whitemom_bin,5,2,7
4946,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × habit_bin + habit_bin × whitemom_bin,5,2,7
4947,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × whitemom_bin + sex_bin × habit_bin,5,2,7
4948,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × whitemom_bin + sex_bin × whitemom_bin,5,2,7
4949,fage + mage + sex_bin + habit_bin + whitemom_bin,mage × whitemom_bin + habit_bin × whitemom_bin,5,2,7
4950,fage + mage + sex_bin + habit_bin + whitemom_bin,sex_bin × habit_bin + sex_bin × whitemom_bin,5,2,7
4951,fage + mage + sex_bin + habit_bin + whitemom_bin,sex_bin × habit_bin + habit_bin × whitemom_bin,5,2,7
4952,fage + mage + sex_bin + habit_bin + whitemom_bin,sex_bin × whitemom_bin + habit_bin × whitemom_bin,5,2,7
4953,fage + mage + sex_bin + habit_bin + mature_bin,,5,0,5
4954,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage,5,1,6
4955,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin,5,1,6
4956,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin,5,1,6
4957,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin,5,1,6
4958,fage + mage + sex_bin + habit_bin + mature_bin,mage × sex_bin,5,1,6
4959,fage + mage + sex_bin + habit_bin + mature_bin,mage × habit_bin,5,1,6
4960,fage + mage + sex_bin + habit_bin + mature_bin,mage × mature_bin,5,1,6
4961,fage + mage + sex_bin + habit_bin + mature_bin,sex_bin × habit_bin,5,1,6
4962,fage + mage + sex_bin + habit_bin + mature_bin,sex_bin × mature_bin,5,1,6
4963,fage + mage + sex_bin + habit_bin + mature_bin,habit_bin × mature_bin,5,1,6
4964,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + fage × sex_bin,5,2,7
4965,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + fage × habit_bin,5,2,7
4966,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + fage × mature_bin,5,2,7
4967,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + mage × sex_bin,5,2,7
4968,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + mage × habit_bin,5,2,7
4969,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + mage × mature_bin,5,2,7
4970,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + sex_bin × habit_bin,5,2,7
4971,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + sex_bin × mature_bin,5,2,7
4972,fage + mage + sex_bin + habit_bin + mature_bin,fage × mage + habit_bin × mature_bin,5,2,7
4973,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + fage × habit_bin,5,2,7
4974,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + fage × mature_bin,5,2,7
4975,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + mage × sex_bin,5,2,7
4976,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + mage × habit_bin,5,2,7
4977,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + mage × mature_bin,5,2,7
4978,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + sex_bin × habit_bin,5,2,7
4979,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + sex_bin × mature_bin,5,2,7
4980,fage + mage + sex_bin + habit_bin + mature_bin,fage × sex_bin + habit_bin × mature_bin,5,2,7
4981,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + fage × mature_bin,5,2,7
4982,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + mage × sex_bin,5,2,7
4983,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + mage × habit_bin,5,2,7
4984,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + mage × mature_bin,5,2,7
4985,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + sex_bin × habit_bin,5,2,7
4986,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + sex_bin × mature_bin,5,2,7
4987,fage + mage + sex_bin + habit_bin + mature_bin,fage × habit_bin + habit_bin × mature_bin,5,2,7
4988,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin + mage × sex_bin,5,2,7
4989,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin + mage × habit_bin,5,2,7
4990,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin + mage × mature_bin,5,2,7
4991,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin + sex_bin × habit_bin,5,2,7
4992,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin + sex_bin × mature_bin,5,2,7
4993,fage + mage + sex_bin + habit_bin + mature_bin,fage × mature_bin + habit_bin × mature_bin,5,2,7
4994,fage + mage + sex_bin + habit_bin + mature_bin,mage × sex_bin + mage × habit_bin,5,2,7
4995,fage + mage + sex_bin + habit_bin + mature_bin,mage × sex_bin + mage × mature_bin,5,2,7
4996,fage + mage + sex_bin + habit_bin + mature_bin,mage × sex_bin + sex_bin × habit_bin,5,2,7
4997,fage + mage + sex_bin + habit_bin + mature_bin,mage × sex_bin + sex_bin × mature_bin,5,2,7
4998,fage + mage + sex_bin + habit_bin + mature_bin,mage × sex_bin + habit_bin × mature_bin,5,2,7
4999,fage + mage + sex_bin + habit_bin + mature_bin,mage × habit_bin + mage × mature_bin,5,2,7
5000,fage + mage + sex_bin + habit_bin + mature_bin,mage × habit_bin + sex_bin × habit_bin,5,2,7
5001,fage + mage + sex_bin + habit_bin + mature_bin,mage × habit_bin + sex_bin × mature_bin,5,2,7
5002,fage + mage + sex_bin + habit_bin + mature_bin,mage × habit_bin + habit_bin × mature_bin,5,2,7
5003,fage + mage + sex_bin + habit_bin + mature_bin,mage × mature_bin + sex_bin × habit_bin,5,2,7
5004,fage + mage + sex_bin + habit_bin + mature_bin,mage × mature_bin + sex_bin × mature_bin,5,2,7
5005,fage + mage + sex_bin + habit_bin + mature_bin,mage × mature_bin + habit_bin × mature_bin,5,2,7
5006,fage + mage + sex_bin + habit_bin + mature_bin,sex_bin × habit_bin + sex_bin × mature_bin,5,2,7
5007,fage + mage + sex_bin + habit_bin + mature_bin,sex_bin × habit_bin + habit_bin × mature_bin,5,2,7
5008,fage + mage + sex_bin + habit_bin + mature_bin,sex_bin × mature_bin + habit_bin × mature_bin,5,2,7
5009,fage + mage + sex_bin + marital_bin + whitemom_bin,,5,0,5
5010,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage,5,1,6
5011,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin,5,1,6
5012,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin,5,1,6
5013,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × whitemom_bin,5,1,6
5014,fage + mage + sex_bin + marital_bin + whitemom_bin,mage × sex_bin,5,1,6
5015,fage + mage + sex_bin + marital_bin + whitemom_bin,mage × marital_bin,5,1,6
5016,fage + mage + sex_bin + marital_bin + whitemom_bin,mage × whitemom_bin,5,1,6
5017,fage + mage + sex_bin + marital_bin + whitemom_bin,sex_bin × marital_bin,5,1,6
5018,fage + mage + sex_bin + marital_bin + whitemom_bin,sex_bin × whitemom_bin,5,1,6
5019,fage + mage + sex_bin + marital_bin + whitemom_bin,marital_bin × whitemom_bin,5,1,6
5020,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + fage × sex_bin,5,2,7
5021,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + fage × marital_bin,5,2,7
5022,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + fage × whitemom_bin,5,2,7
5023,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + mage × sex_bin,5,2,7
5024,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + mage × marital_bin,5,2,7
5025,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + mage × whitemom_bin,5,2,7
5026,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + sex_bin × marital_bin,5,2,7
5027,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + sex_bin × whitemom_bin,5,2,7
5028,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × mage + marital_bin × whitemom_bin,5,2,7
5029,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + fage × marital_bin,5,2,7
5030,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + fage × whitemom_bin,5,2,7
5031,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + mage × sex_bin,5,2,7
5032,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + mage × marital_bin,5,2,7
5033,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + mage × whitemom_bin,5,2,7
5034,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + sex_bin × marital_bin,5,2,7
5035,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + sex_bin × whitemom_bin,5,2,7
5036,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × sex_bin + marital_bin × whitemom_bin,5,2,7
5037,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + fage × whitemom_bin,5,2,7
5038,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + mage × sex_bin,5,2,7
5039,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + mage × marital_bin,5,2,7
5040,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + mage × whitemom_bin,5,2,7
5041,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + sex_bin × marital_bin,5,2,7
5042,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + sex_bin × whitemom_bin,5,2,7
5043,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × marital_bin + marital_bin × whitemom_bin,5,2,7
5044,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × whitemom_bin + mage × sex_bin,5,2,7
5045,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × whitemom_bin + mage × marital_bin,5,2,7
5046,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × whitemom_bin + mage × whitemom_bin,5,2,7
5047,fage + mage + sex_bin + marital_bin + whitemom_bin,fage × whitemom_bin + sex_bin × marital_bin,5,2,7
